name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
DOÑA SUSPIRA,DADDY LONG LEGS (USA),DOÑA SUSPIROS,Hembra,Abolengo,36,2023,50000,26255.848,0.5342443,0.038401563,0.020515816,2023-03-28,2021-10-16
DISIPADO JOY,FORTIFY (USA),DISIPADORA,Macho,Vacacion,49,2023,50000,26255.848,0.71873987,0.13766721,0.098946914,2023-03-28,2021-09-04
THIS IS US,HURRICANE CAT (USA),TRILOGIQUE,Hembra,Vacacion,51,2023,50000,26255.848,0.5740356,0.04583387,0.026310273,2023-03-28,2021-09-02
IBIZKUS,BODEMEISTER (USA),INFUSION,Macho,La Pasion,35,2021,45000,26250.346,0.58402014,0.02686797,0.015691437,2021-04-28,2019-10-10
DIXIE CUP,BODEMEISTER (USA),DIXIE READY (USA),Macho,La Pasion,33,2021,45000,26250.346,0.63512397,0.089675695,0.056955185,2021-04-28,2019-10-06
MEDHINA,BODEMEISTER (USA),MOZILLA,Macho,La Pasion,20,2021,45000,26250.346,0.6730471,0.09007746,0.060626376,2021-04-28,2019-08-19
FARAMOND,IL MERCATO,FAUNA SILVESTRE (USA),Macho,La Pasion,5,2023,55000,26229.85,0.69032085,0.09525735,0.06575813,2023-04-27,2021-08-22
BET HILL,ORPEN (USA),BLUE GAL,Hembra,Orilla Del Monte,1,2022,45000,26211.945,0.65040773,0.03824412,0.024874272,2022-05-27,2020-08-09
SALANDO LAS HERIDAS,STRATEGOS,PURA BELLOTA,Macho,Ojos Claros,3,2024,30000,26195.121,0.4732259,0.0425904,0.020154878,2024-05-07,2022-08-11
CASINO JACK,DANIEL BOONE (BRZ),CARTOMANCIE,Macho,Santa Maria De Araras,3,2024,28000,26152.576,0.7986955,0.16590278,0.1325058,2024-04-07,2022-07-21
RAINERO,HURRICANE CAT (USA),MISS GRACE,Macho,El Mallin,70,2019,1200000,26143.79,0.7538306,0.114506796,0.08631873,2019-05-16,2017-11-09
MANI GOLD,MANIPULATOR (USA),MARY'S GOLD,Macho,La Pasion,52,2019,1200000,26143.79,0.80705094,0.053876664,0.043481212,2019-05-16,2017-10-25
